"Rank","MatchScore","MatchReason","Attention","RecruitPostName","ProductName","BGName","LocationName","LastUpdateTime","PostURL","Responsibility","RequireWorkYearsName","MatchRuleNote"
"11","131","AI、大模型、Agent 方向与简历主线高度重合；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","","腾讯会议-AI产品经理-ASR方向","腾讯会议","CSIG","深圳","2026年03月25日","http://careers.tencent.com/jobdesc.html?postId=2036621556322562048","1.负责AI语音相关产品的规划、设计与迭代；
2.联动算法/工程/数据团队，推进AI语音能力在业务中的落地，持续优化识别准确率、响应速度等关键指标；
3.建立语音产品质量评估体系，负责效果评测集构建、竞品分析和数据驱动的产品迭代。","三年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"12","130","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","元宝- AI策略产品经理（图片理解方向）","元宝","CSIG","深圳","2026年05月18日","http://careers.tencent.com/jobdesc.html?postId=2021846191561666560","1.端到端负责腾讯元宝VLM（图片理解）的链路设计和模型效果，从 0 到 1、从 1 到 N 推动核心能力落地；
2.参与定义元宝在VLM方向上的长期产品形态，从大量数据中抽象出用户需求，和在VLM场景下的亮点功能，推动VLM在用户生活中解决实际问题；
3.为用户体验与模型效果的最终结果负责，直接影响大规模用户的真实写作与工作效率，与算法、数据、评测团队深度协作，共同定义效果目标、评测体系与优化路径，形成可持续演进的产品闭环；
4.将大模型能力沉淀为长期可复用的产品能力，把Prompt、Workflow、Agent等能力转化为稳定、可扩展的产品机制，推动能力在多个VLM场景中持续复用和放大。","一年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"13","129","AI、大模型、Agent 方向与简历主线高度重合；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","","证券-AI产品经理-金融AI应用体验方向","自选股","CDG","深圳","2026年05月15日","http://careers.tencent.com/jobdesc.html?postId=2052527703940313088","1.AI原生体验规划与设计：负责规划并设计证券场景下AI原生功能，深入理解新股民与老股民的差异化需求，将复杂的市场信息、金融逻辑通过智能解读、对话式交互、个性化内容等方式，转化为直观、友好、可信赖的产品体验；
2.前沿技术应用与产品化：紧密跟踪AI领域（如Agent架构、RAG、SFT/RLHF等）发展趋势。评估新技术在提升信息获取、策略验证、决策辅助等环节的潜力，并主导其产品化路径设计，将技术语言转化为用户可感知的价值；
3.全流程产品闭环构建：主导AI产品从需求定义、方案设计、开发协同到上线运营的全过程；特别关注构建数据驱动的评估迭代与Ai评测体系，推动创新想法从技术验证到规模应用，对产品最终的体验价值与影响力负责；
4.复杂系统与体验设计：设计兼顾创新、用户体验、金融合规与风险控制的产品方案。包括但不限于：设计AI Agent的决策流、设定人机协同边界、规划工具调用与长短期记忆机制、确保结果的可解释性与可控性。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"14","128","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","安全平台中台高级产品经理","信息安全-","TEG","成都","2026年05月27日","http://careers.tencent.com/jobdesc.html?postId=2049051895145857024","1.负责安全平台中台产品的策略模块，抽象共性能力，涵盖分流规则、调度规则、优先级配置、策略编排等核心能力，推进策略工具的标准化落地与平台能力建设；
2.梳理现有产品架构与业务流程，主导人机联动的审核解决方案线上化建设，识别重叠与缺失模块，推动中台层能力复用和流程打通；
3.关注大模型在安全审核场景的应用潜力，探索生成式AI提质降本的落地路径，为中台产品的中长期发展提供方向输入。","三年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"15","128","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","安全平台中台高级产品经理","信息安全-","TEG","深圳","2026年05月25日","http://careers.tencent.com/jobdesc.html?postId=2049051892805435392","1.负责安全平台中台产品的策略模块，抽象共性能力，涵盖分流规则、调度规则、优先级配置、策略编排等核心能力，推进策略工具的标准化落地与平台能力建设；
2.梳理现有产品架构与业务流程，主导人机联动的审核解决方案线上化建设，识别重叠与缺失模块，推动中台层能力复用和流程打通；
3.关注大模型在安全审核场景的应用潜力，探索生成式AI提质降本的落地路径，为中台产品的中长期发展提供方向输入。","三年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"16","124","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","偏增长或商业化运营，与简历主线不完全一致","智能体-B端产品经理-Workbuddy/CodeBuddy","腾讯云-Codebuddy-B端专用","CSIG","深圳","2026年05月25日","http://careers.tencent.com/jobdesc.html?postId=2058757441348349952","1.统筹腾讯云企业级智能体产品规划与路线制定，负责产品核心竞争力打造及商业化目标达成；
2.搭建智能体技能、连接器及生态集成体系，整合内外资源，搭建企业业务智能体与数字员工能力体系；
3.建立智能体评测、安全管控、线上监控及自动化验收体系，提升项目落地成功率，实现规模化商用；
4.协同销售与解决方案团队服务大客户，沉淀标杆项目经验，输出可复用行业落地模板。","五年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"17","121","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","偏内容或社交运营，与简历中的企业 AI 场景相关性较弱；偏消费内容产品线，与当前企业 AI 平台和效率工具经历距离较远","QQ浏览器-内容生态治理策略产品经理","手机浏览器-搜索","CSIG","深圳","2026年05月19日","http://careers.tencent.com/jobdesc.html?postId=2034823277918191616","1.围绕合规风控、内容质量、生态健康核心目标，搭建全链路内容治理体系与规则，针对线上体验问题制定落地策略，联动多方推进中长期治理规划落地，平衡体验和业务数据；
2.主导内容审核、违规处置、账号管控、申诉维权等治理产品全流程，高效协调审核团队、算法团队落地低质内容识别与打击策略，结合AI能力，优化治理流程、降本提效，保障平台合规运营；
3.搭建治理数据监控体系，围绕链路漏斗、线上低质残留率等核心指标复盘，深挖违规趋势与策略漏洞，通过数据验证迭代方案，实现精细化、智能化治理；
4.与安全与生态团协作，快速响应专项整治、舆情应急等场景，维护平台合规口碑。","两年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"18","116","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；文档、知识、工作流和效率场景与既有项目经验接近；0到1 方案设计、架构规划和跨团队推进要求匹配","","混元大模型数据平台产品经理（深圳）","AI","TEG","北京","2026年04月10日","http://careers.tencent.com/jobdesc.html?postId=2036691023102640128","1.负责大模型数据平台相关的产品策划；
2.围绕提高数据交付质量、效率目标，，以大模型为基础，探索产品化、可复制的产品能力，抽象方案，推动落地；
3.通过产品能力，提升大模型、智能体等产品能力在司内外的渗透、使用、口碑；
4.通过对需求的研究分析，持续优化和完善产品能力，提升大模型、智能体等产品的用户价值和商业价值。","五年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"19","112","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","","元宝-大模型策略产品经理（AIGC方向）","元宝","CSIG","北京","2026年06月01日","http://careers.tencent.com/jobdesc.html?postId=2021054129127981056","1.端到端效果负责： 全面负责元宝各核心场景下 AIGC 的端到端效果优化，定义并持续提升生成内容的准确性、丰富度及逻辑性；
2.策略驱动与协同： 深入业务细节，通过精细化的数据分析定位模型短板；与算法、工程及策划团队紧密协作，制定针对性的模型训练和Prompt 优化方案，确保业务目标达成；
3.能力抽象与演进： 实时洞察全球 AIGC 领域动态，能够快速识别高价值技术方向，将其抽象为具体的能力维度和评估标准，驱动模型效果迭代进化；
4.闭环体系建设： 搭建并完善 AIGC 效果的评估体系（包括自动化评测与人工评测），建立高效的数据回流闭环，确保策略迭代的有据可依。","一年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
"20","112","AI、大模型、Agent 方向与简历主线高度重合；企业 AI 平台、权限治理和协作产品经验可直接迁移；0到1 方案设计、架构规划和跨团队推进要求匹配；数据评估、效果闭环和平台监控能力可以复用","","元宝-大模型策略产品经理（AIGC方向）","元宝","CSIG","深圳","2026年05月11日","http://careers.tencent.com/jobdesc.html?postId=2021054127102132224","1.端到端效果负责： 全面负责元宝各核心场景下 AIGC 的端到端效果优化，定义并持续提升生成内容的准确性、丰富度及逻辑性；
2.策略驱动与协同： 深入业务细节，通过精细化的数据分析定位模型短板；与算法、工程及策划团队紧密协作，制定针对性的模型训练和Prompt 优化方案，确保业务目标达成；
3.能力抽象与演进： 实时洞察全球 AIGC 领域动态，能够快速识别高价值技术方向，将其抽象为具体的能力维度和评估标准，驱动模型效果迭代进化；
4.闭环体系建设： 搭建并完善 AIGC 效果的评估体系（包括自动化评测与人工评测），建立高效的数据回流闭环，确保策略迭代的有据可依。","一年以上工作经验","已忽略工作年限，仅按简历能力与岗位内容匹配度排序"
