rank,code,title,publish_date,location,total_score,verdict,manual_bucket,manual_note,reason,post_url
16,PR022838,产品经理（支付风控方向）,2026-05-11,上海,42,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人无支付风控相关经验，业务场景匹配度极低，仅通用产品能力可部分迁移，适配成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022838
17,PR022873,产品经理（电商风控方向）,2026-05-11,上海,42,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人有企业AI产品落地经验，但无电商风控相关沉淀，业务场景匹配度低，迁移成本较高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022873
18,PR022066,AIGC策略产品经理-广告用增方向,2026-05-16,上海,42,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人擅长ToB企业AI场景，岗位为广告用增C端AIGC策略，业务匹配度低，领域迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022066
19,PR023850,商品内容产品经理,2026-05-18,上海,42,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人核心为企业AI产品经验，与商品内容产品的电商商品体系业务匹配度极低，领域跨度大。,https://careers.pddglobalhr.com/jobs/detail?code=PR023850
20,PR023660,商家结算产品经理,2026-03-09,上海,38,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI产品方向，岗位为电商商家结算产品，业务场景差异极大，无相关电商结算经验，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023660
21,PR022426,搜索策略产品经理,2026-04-16,上海,38,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人经验集中在ToB企业AI领域，无搜索/推荐/广告策略相关经验，匹配度低,https://careers.pddglobalhr.com/jobs/detail?code=PR022426
22,PR023690,开放平台产品经理,2026-03-11,上海,37,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人无电商开放平台、ERP相关经验，业务场景匹配度极低，迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023690
23,PR022054,B端物流产品经理,2026-05-18,上海,37,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人无B端物流相关经验，业务场景匹配度极低，仅通用产品能力有一定迁移性，整体匹配度差。,https://careers.pddglobalhr.com/jobs/detail?code=PR022054
24,PR022006,策略产品经理,2026-05-16,上海,36,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人核心是ToB企业AI产品经验，岗位为C端商品策略产品，业务场景差异极大，匹配度低,https://careers.pddglobalhr.com/jobs/detail?code=PR022006
25,PR023962,物流产品经理,2026-04-24,上海,35,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI产品经理，岗位为纯物流C端/供应链产品，业务场景完全不匹配，迁移成本极高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023962
26,PR020751,搜索广告产品经理（用户增长方向）,2026-05-16,上海,35,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人专注ToB企业AI产品，岗位为C端搜索广告用户增长，业务场景完全不匹配，相关经验空白。,https://careers.pddglobalhr.com/jobs/detail?code=PR020751
27,PR023910,用户体验产品经理,2026-04-19,上海,33,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人深耕ToB企业AI产品领域，无C端用户体验相关经验，与岗位业务方向偏差极大，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023910
28,PR022784,电商产品经理,2026-04-24,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI产品背景，无电商、物流相关经验，和岗位需求匹配度极低，迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR022784
29,PR018648,C端产品经理,2026-05-13,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人深耕企业ToB AI产品领域，无C端增长、营销相关经验，与岗位业务方向差异极大，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR018648
30,PR022795,增长产品经理,2026-05-16,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是ToB AI产品方向，岗位是C端电商增长，业务场景完全不匹配，迁移成本极高,https://careers.pddglobalhr.com/jobs/detail?code=PR022795
31,PR020780,达人营销产品经理,2026-05-16,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人背景为企业级AI产品，岗位是达人营销投放，业务场景完全不匹配，仅通用跨部门能力有微弱适配。,https://careers.pddglobalhr.com/jobs/detail?code=PR020780
32,PR024083,用户增长产品经理,2026-05-26,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是ToB AI产品背景，岗位为C端用户增长物流产品，业务场景完全不匹配，AI相关能力无落地场景。,https://careers.pddglobalhr.com/jobs/detail?code=PR024083
33,PR024115,物流代收点产品经理,2026-06-07,上海,32,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人是AI ToB产品方向，岗位为C端物流驿站产品，业务场景完全不匹配，迁移成本极高,https://careers.pddglobalhr.com/jobs/detail?code=PR024115
34,PR023668,产品经理（B端C端结合）,2026-03-14,上海,31,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人深耕企业AI产品领域，无电商C端/B端运营相关经验，与岗位业务场景匹配度极低，迁移成本高。,https://careers.pddglobalhr.com/jobs/detail?code=PR023668
35,PR023990,电商产品经理（履约/交易方向）,2026-05-15,上海,30,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人擅长AI ToB产品，岗位为纯C端电商交易履约产品，业务场景差异极大，匹配度低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023990
36,PR020775,电商产品经理（会员营销方向）,2026-06-08,上海,30,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人过往为B端AI产品经验，岗位是C端电商会员营销，业务场景完全不匹配，领域迁移成本极高。,https://careers.pddglobalhr.com/jobs/detail?code=PR020775
37,PR023837,C端产品经理,2026-05-16,上海,29,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人过往均为ToB/企业AI类产品经验，无C端电商相关沉淀，与该C端产品岗位匹配度极低。,https://careers.pddglobalhr.com/jobs/detail?code=PR023837
38,PR023686,用户体验产品经理,2026-06-09,上海,28,weak,????,???AI/??/Agent?????????????????C?/??/??/?????????????,候选人核心是ToB AI产品经验，岗位为C端电商用户体验产品，业务场景差异极大，仅通用软能力有部分适配,https://careers.pddglobalhr.com/jobs/detail?code=PR023686
